0200270331,audio001,001.wav
0200300312,audio002,002.wav
0270250283,audio003,003.wav
0270250304,audio004,004.wav
0270260281,audio005,005.wav
0270330552,audio006,006.wav
1560000321,audio007,007.wav
2110040311,audio008,008.wav
2120310071,audio009,009.wav
2120330073,audio010,010.wav
2120340062,audio011,011.wav
2130360031,audio012,012.wav
2160350101,audio013,013.wav
2180320132,audio015,015.wav
2180320201,audio016,016.wav
2200130161,audio017,017.wav
2210140171,audio018,018.wav
2230120081,audio019,019.wav
2230130062,audio020,020.wav
2230140043,audio021,021.wav
2240080131,audio022,022.wav
2260100042,audio023,023.wav
2260120011,audio024,024.wav
2310060101,audio025,025.wav
2320080132,audio026,026.wav
2330050002,audio027,027.wav
2330050011,audio028,028.wav
2340060032,audio029,029.wav
2340090091,audio030,030.wav
2490150321,audio031,031.wav
2510070374,audio032,032.wav
2510090381,audio033,033.wav
2510090412,audio034,034.wav
2510120373,audio035,035.wav
2540000341,audio036,036.wav
2540010362,audio037,037.wav
2550030361,audio038,038.wav
2550060392,audio039,039.wav
2560010342,audio040,040.wav
2600150282,audio041,041.wav
2610180472,audio042,042.wav
2610180491,audio043,043.wav
2630170311,audio044,044.wav
2640270171,audio045,045.wav
2670190231,audio046,046.wav
2680260311,audio047,047.wav
2910150381,audio048,048.wav
2910150382,audio049,049.wav
0010180771,audio050,050.wav
0010180772,audio051,051.wav
0010180781,audio052,052.wav
0010230761,audio053,053.wav
0010240771,audio054,054.wav
0010250771,audio055,055.wav
0520160921,audio056,056.wav
0520170961,audio057,057.wav
0520190981,audio058,058.wav
0520190982,audio059,059.wav
0520190983,audio060,060.wav
0520190991,audio061,061.wav
0520200871,audio062,062.wav
0520210861,audio063,063.wav
0520321171,audio065,065.wav
0530230811,audio066,066.wav
0530230821,audio067,067.wav
0530230822,audio068,068.wav
5010160881,audio069,069.wav
5010170871,audio070,070.wav
5010170881,audio071,071.wav
5020140901,audio072,072.wav
5020140902,audio073,073.wav
5020140911,audio074,074.wav
5020150901,audio075,075.wav
5030130881,audio076,076.wav
5030130891,audio077,077.wav
5040140871,audio078,078.wav
5040140881,audio079,079.wav
5040150871,audio080,080.wav
5040150881,audio081,081.wav
5050110851,audio082,082.wav
5050120851,audio083,083.wav
5050120852,audio084,084.wav
5050120861,audio085,085.wav
5060090851,audio087,087.wav
5060090852,audio088,088.wav
